Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2017-11-16,1367.0,1374.5,1344.65,1365.9,1359.09,2492.0,203.0,3386843.0,1267.0,50.84,29.85,-1.1
2017-11-15,1370.0,1370.0,1325.05,1353.4,1347.54,4049.0,325.0,5456184.0,1558.0,38.48,44.95,-16.6
2017-11-14,1355.35,1370.0,1355.35,1361.4,1363.06,1577.0,205.0,2149546.0,651.0,41.28,14.65,6.05
2017-11-13,1363.0,1368.0,1350.0,1356.9,1359.46,2193.0,229.0,2981288.0,1114.0,50.8,18.0,-6.1
2017-11-10,1349.0,1360.0,1334.0,1354.6,1350.65,2412.0,342.0,3257756.0,1052.0,43.62,26.0,5.6
2017-11-09,1319.0,1360.1,1319.0,1349.3,1341.35,2154.0,299.0,2889270.0,727.0,33.75,41.1,30.3
2017-11-08,1340.0,1357.1,1308.0,1316.85,1330.81,4658.0,760.0,6198923.0,1538.0,33.02,49.1,-23.15
2017-11-07,1377.95,1387.5,1325.0,1334.3,1369.04,113237.0,877.0,155026427.0,102457.0,90.48,62.5,-43.65
2017-11-06,1386.95,1386.95,1358.0,1362.6,1374.75,105333.0,529.0,144806881.0,102158.0,96.99,28.95,-24.35
2017-11-03,1396.45,1402.0,1380.0,1381.15,1393.96,51233.0,321.0,71416781.0,49329.0,96.28,22.0,-15.3
2017-11-02,1395.0,1401.0,1375.0,1388.6,1392.04,52687.0,221.0,73342355.0,51256.0,97.28,26.0,-6.4
2017-11-01,1387.05,1398.45,1379.0,1389.95,1387.15,53586.0,435.0,74332086.0,51390.0,95.9,19.45,2.9
2017-10-31,1400.0,1406.95,1369.95,1382.85,1393.66,13833.0,653.0,19278468.0,9460.0,68.39,37.0,-17.15
2017-10-30,1403.0,1419.55,1390.0,1401.2,1414.75,72629.0,351.0,102751678.0,70552.0,97.14,29.55,-1.8
2017-10-27,1405.3,1412.0,1390.0,1403.0,1403.69,158160.0,1093.0,222007341.0,150873.0,95.39,22.0,-2.3
2017-10-26,1387.0,1410.0,1356.65,1399.55,1404.05,158956.0,730.0,223182141.0,150368.0,94.6,53.35,12.55
2017-10-25,1355.65,1391.0,1335.0,1384.95,1373.08,14747.0,1310.0,20248852.0,5251.0,35.61,56.0,29.3
2017-10-24,1348.0,1365.0,1340.0,1356.4,1357.02,211027.0,1087.0,286368369.0,199706.0,94.64,25.0,8.4
2017-10-23,1350.85,1354.65,1331.05,1332.0,1343.74,3026.0,328.0,4066145.0,1333.0,44.05,23.6,-18.85
2017-10-19,1340.5,1352.8,1330.0,1339.75,1338.05,1341.0,140.0,1794330.0,776.0,57.87,22.8,-0.75
2017-10-18,1346.0,1360.0,1306.65,1325.85,1332.43,8373.0,507.0,11156435.0,3349.0,40.0,53.35,-20.15
2017-10-17,1345.0,1357.5,1340.55,1342.8,1348.39,2614.0,292.0,3524702.0,982.0,37.57,16.95,-2.2
2017-10-16,1346.5,1371.25,1346.5,1354.45,1360.15,4254.0,356.0,5786096.0,1729.0,40.64,24.75,7.95
2017-10-13,1355.05,1359.95,1341.35,1346.45,1350.19,3624.0,307.0,4893099.0,1556.0,42.94,18.6,-8.6
2017-10-12,1338.65,1371.5,1338.65,1359.85,1344.42,32401.0,439.0,43560463.0,29670.0,91.57,32.85,21.2
2017-10-11,1360.65,1364.0,1338.15,1349.4,1349.28,3506.0,447.0,4730573.0,1228.0,35.03,25.85,-11.25
2017-10-10,1385.0,1389.95,1350.0,1353.6,1362.63,9278.0,548.0,12642451.0,6014.0,64.82,39.95,-31.4
2017-10-09,1375.0,1388.1,1361.05,1367.45,1371.75,3612.0,463.0,4954775.0,1727.0,47.81,27.05,-7.55
2017-10-06,1394.0,1410.0,1365.25,1368.7,1377.65,4509.0,584.0,6211810.0,2193.0,48.64,44.75,-25.3
2017-10-05,1410.0,1410.0,1380.0,1387.95,1388.56,2757.0,375.0,3828260.0,1163.0,42.18,30.0,-22.05
2017-10-04,1390.0,1403.95,1375.0,1380.95,1386.07,4058.0,340.0,5624668.0,1657.0,40.83,28.95,-9.05
2017-10-03,1402.55,1415.85,1386.85,1394.2,1397.09,2264.0,288.0,3163021.0,471.0,20.8,29.0,-8.35
2017-09-29,1408.75,1428.0,1386.85,1396.05,1411.66,4819.0,579.0,6802806.0,999.0,20.73,41.15,-12.7
2017-09-28,1441.0,1441.0,1403.15,1408.7,1413.46,5218.0,596.0,7375456.0,1774.0,34.0,37.85,-32.3
2017-09-27,1425.9,1444.0,1407.45,1437.65,1429.06,6961.0,654.0,9947655.0,2855.0,41.01,36.55,11.75
2017-09-26,1450.0,1450.0,1411.2,1431.9,1429.99,9985.0,703.0,14278465.0,861.0,8.62,38.8,-18.1
2017-09-25,1440.8,1445.0,1380.0,1429.05,1403.07,6898.0,775.0,9678398.0,1903.0,27.59,65.0,-11.75
2017-09-22,1445.0,1446.0,1392.8,1424.0,1420.1,14551.0,1274.0,20663918.0,7802.0,53.62,53.2,-21.0
2017-09-21,1473.25,1479.4,1432.0,1446.05,1447.33,10970.0,909.0,15877168.0,3648.0,33.25,47.4,-27.2
2017-09-20,1454.65,1493.0,1454.65,1466.6,1472.44,23523.0,1893.0,34636287.0,5254.0,22.34,38.35,11.95
2017-09-19,1425.75,1454.0,1425.0,1440.45,1440.32,13074.0,1076.0,18830701.0,4103.0,31.38,29.0,14.7
2017-09-18,1434.3,1439.0,1413.0,1418.65,1424.39,6331.0,693.0,9017836.0,2168.0,34.24,26.0,-15.65
2017-09-15,1430.0,1436.95,1400.8,1420.75,1417.79,8761.0,998.0,12421224.0,2487.0,28.39,36.15,-9.25
2017-09-14,1399.6,1428.0,1382.85,1422.7,1415.34,17946.0,1684.0,25399774.0,3875.0,21.59,45.15,23.1
2017-09-13,1382.0,1402.0,1379.0,1385.25,1389.09,8724.0,889.0,12118444.0,1481.0,16.98,23.0,3.25
2017-09-12,1370.0,1420.95,1370.0,1392.55,1402.36,17971.0,1694.0,25201870.0,5173.0,28.79,50.95,22.55
2017-09-11,1349.4,1371.0,1345.5,1363.9,1360.33,9854.0,1857.0,13404683.0,4527.0,45.94,25.5,14.5
2017-09-08,1352.35,1370.0,1332.6,1340.95,1349.14,4977.0,491.0,6714655.0,1129.0,22.68,37.4,-11.4
2017-09-07,1331.95,1362.2,1329.45,1340.9,1345.88,6545.0,656.0,8808770.0,1715.0,26.2,32.75,8.95
2017-09-06,1321.45,1341.0,1314.0,1335.15,1325.13,5509.0,509.0,7300124.0,1067.0,19.37,27.0,13.7
2017-09-05,1302.0,1365.0,1302.0,1341.75,1336.82,13680.0,1027.0,18287682.0,2139.0,15.64,63.0,39.75
2017-09-04,1339.95,1342.5,1298.35,1315.55,1313.88,7198.0,677.0,9457324.0,3076.0,42.73,44.15,-24.4
2017-09-01,1360.0,1372.0,1325.0,1332.45,1346.53,8848.0,668.0,11914086.0,3561.0,40.25,47.0,-27.55
2017-08-31,1356.45,1356.45,1335.05,1343.75,1340.56,10685.0,688.0,14323898.0,,,21.4,-12.7
2017-08-30,1353.0,1367.0,1340.0,1347.3,1347.11,3118.0,299.0,4200286.0,735.0,23.57,27.0,-5.7
2017-08-29,1350.0,1362.9,1349.9,1352.8,1351.72,2317.0,185.0,3131934.0,1605.0,69.27,13.0,2.8
2017-08-28,1358.8,1371.9,1348.0,1361.7,1361.29,2831.0,336.0,3853808.0,657.0,23.21,23.9,2.9
2017-08-24,1357.0,1360.05,1332.65,1350.5,1342.98,6248.0,411.0,8390921.0,1732.0,27.72,27.4,-6.5
2017-08-23,1354.0,1361.6,1347.35,1354.1,1352.49,3177.0,292.0,4296854.0,1685.0,53.04,14.25,0.1
2017-08-22,1356.0,1361.0,1327.6,1350.85,1339.02,3132.0,333.0,4193811.0,735.0,23.47,33.4,-5.15
2017-08-21,1382.8,1382.8,1337.85,1351.65,1359.02,1747.0,256.0,2374201.0,504.0,28.85,44.95,-31.15
2017-08-18,1354.4,1377.0,1336.0,1363.0,1350.32,5649.0,423.0,7627954.0,1237.0,21.9,41.0,8.6
2017-08-17,1360.85,1374.0,1351.0,1368.6,1365.24,4148.0,529.0,5663027.0,708.0,17.07,23.0,7.75
2017-08-16,1356.85,1374.95,1335.0,1360.5,1347.68,11233.0,899.0,15138525.0,1397.0,12.44,39.95,3.65
2017-08-14,1351.0,1355.0,1340.05,1347.35,1347.83,3216.0,429.0,4334636.0,1182.0,36.75,14.95,-3.65
2017-08-11,1337.0,1347.7,1292.1,1336.25,1321.8,8451.0,861.0,11170547.0,1566.0,18.53,55.6,-0.75
2017-08-10,1394.8,1394.8,1337.05,1342.3,1353.78,10076.0,1193.0,13640641.0,4429.0,43.96,57.75,-52.5
2017-08-09,1390.05,1399.0,1365.0,1388.3,1384.49,6763.0,663.0,9363292.0,2580.0,38.15,34.0,-1.75
2017-08-08,1402.95,1419.3,1385.0,1389.1,1396.31,6086.0,645.0,8497922.0,2603.0,42.77,34.3,-13.85
2017-08-07,1416.3,1424.85,1395.9,1400.65,1406.16,14975.0,1181.0,21057234.0,7249.0,48.41,28.95,-15.65
2017-08-04,1396.15,1432.5,1386.0,1424.85,1404.5,14697.0,1106.0,20641957.0,3016.0,20.52,46.5,28.7
2017-08-03,1415.9,1430.05,1391.0,1410.85,1420.35,13066.0,916.0,18558274.0,6350.0,48.6,39.05,-5.05
2017-08-02,1429.1,1435.0,1410.1,1412.7,1419.67,7446.0,567.0,10570845.0,3085.0,41.43,24.9,-16.4
2017-08-01,1427.55,1431.0,1418.0,1427.1,1424.17,7302.0,518.0,10399323.0,2684.0,36.76,13.0,-0.45
2017-07-31,1423.0,1445.0,1415.55,1427.6,1424.74,6753.0,545.0,9621246.0,2779.0,41.15,29.45,4.6
2017-07-28,1427.3,1445.35,1409.65,1424.45,1424.29,7325.0,682.0,10432930.0,2234.0,30.5,35.7,-2.85
2017-07-27,1443.0,1443.85,1423.55,1427.05,1431.55,7808.0,744.0,11177513.0,3628.0,46.47,20.3,-15.95
2017-07-26,1432.05,1471.0,1432.05,1444.65,1449.94,16859.0,1326.0,24444487.0,4718.0,27.99,38.95,12.6
2017-07-25,1446.0,1447.0,1425.0,1432.05,1434.62,16549.0,1529.0,23741469.0,5951.0,35.96,22.0,-13.95
2017-07-24,1478.75,1478.75,1433.35,1448.15,1448.45,11575.0,965.0,16765810.0,3020.0,26.09,45.4,-30.6
2017-07-21,1461.0,1483.0,1445.05,1461.4,1465.57,20930.0,1754.0,30674405.0,5036.0,24.06,37.95,0.4
2017-07-20,1464.95,1548.4,1440.0,1458.7,1500.48,141332.0,9931.0,212065362.0,21768.0,15.4,108.4,-6.25
2017-07-19,1440.0,1463.9,1430.3,1452.65,1450.86,9909.0,731.0,14376593.0,2701.0,27.26,33.6,12.65
2017-07-18,1460.0,1460.0,1175.0,1424.5,1344.03,30121.0,1871.0,40483500.0,9595.0,31.85,285.0,-35.5
2017-07-17,1470.1,1474.95,1432.5,1445.65,1444.97,18946.0,1438.0,27376401.0,4441.0,23.44,42.45,-24.45
2017-07-14,1483.8,1485.5,1460.0,1468.45,1473.47,9010.0,578.0,13275931.0,4182.0,46.42,25.5,-15.35
2017-07-13,1485.0,1504.0,1473.0,1476.85,1480.36,35144.0,835.0,52025842.0,28172.0,80.16,31.0,-8.15
2017-07-12,1470.0,1477.55,1454.1,1458.45,1465.82,47666.0,1156.0,69869689.0,35916.0,75.35,23.45,-11.55
2017-07-11,1455.55,1494.95,1455.55,1467.4,1471.88,57696.0,1114.0,84921482.0,46450.0,80.51,39.4,11.85
2017-07-10,1452.0,1480.0,1450.0,1455.4,1464.29,8227.0,440.0,12046734.0,4100.0,49.84,30.0,3.4
